Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,1151291,1073152,78139,78139,8,93.21,6.79
1,1130918,1052769,78149,78149,8,93.09,6.91
2,1133206,1054648,78558,78558,8,93.07,6.93
3,1129853,1051709,78144,78144,8,93.08,6.92
4,1134742,1056343,78399,78399,8,93.09,6.91
5,1133836,1055458,78378,78378,8,93.09,6.91
6,1129510,1050503,79007,79007,8,93.01,6.99
7,1138225,1059836,78389,78389,8,93.11,6.89
8,1143823,1064985,78838,78838,8,93.11,6.89
9,1143316,1064653,78663,78663,8,93.12,6.88
10,1135181,1056059,79122,79122,8,93.03,6.97
11,1136701,1058048,78653,78653,8,93.08,6.92
12,1132335,1054181,78154,78154,8,93.10,6.90
13,1131377,1052755,78622,78622,8,93.05,6.95
14,1130986,1052173,78813,78813,8,93.03,6.97
15,1129458,1051349,78109,78109,8,93.08,6.92
16,1132514,1054389,78125,78125,8,93.10,6.90
17,1130393,1052242,78151,78151,8,93.09,6.91
18,1140045,1061269,78776,78776,8,93.09,6.91
19,1131714,1053684,78030,78030,8,93.11,6.89
20,1131706,1053436,78270,78270,8,93.08,6.92
21,1134299,1055666,78633,78633,8,93.07,6.93
22,1137638,1056859,80779,80779,8,92.90,7.10
23,1156875,1076056,80819,80819,8,93.01,6.99
24,1138648,1058582,80066,80066,8,92.97,7.03
25,1143415,1063103,80312,80312,8,92.98,7.02
26,1139209,1058442,80767,80767,8,92.91,7.09
27,1139636,1058903,80733,80733,8,92.92,7.08
28,3236889,3146847,90042,90042,8,97.22,2.78
29,3237404,3147664,89740,89740,8,97.23,2.77
30,1144935,1063718,81217,81217,8,92.91,7.09
31,1162847,1082155,80692,80692,8,93.06,6.94
32,1158169,1077730,80439,80439,8,93.05,6.95
33,1167938,1087765,80173,80173,8,93.14,6.86
34,1143201,1062644,80557,80557,8,92.95,7.05
35,1143753,1063207,80546,80546,8,92.96,7.04
36,1141386,1061281,80105,80105,8,92.98,7.02
37,2196047,2105971,90076,90076,8,95.90,4.10
38,1137421,1056954,80467,80467,8,92.93,7.07
39,1147471,1069236,78235,78235,8,93.18,6.82
40,1154501,1076167,78334,78334,8,93.21,6.79
41,1187785,1109673,78112,78112,8,93.42,6.58
42,1262574,1183624,78950,78950,8,93.75,6.25
43,1510712,1422475,88237,88237,8,94.16,5.84
44,1515708,1427956,87752,87752,8,94.21,5.79
45,1228487,1149802,78685,78685,8,93.59,6.41
46,1241092,1162425,78667,78667,8,93.66,6.34
47,1194104,1115872,78232,78232,8,93.45,6.55
48,1189704,1111202,78502,78502,8,93.40,6.60
49,1333038,1254938,78100,78100,8,94.14,5.86
50,1345943,1267258,78685,78685,8,94.15,5.85
51,1243429,1165210,78219,78219,8,93.71,6.29
52,1225098,1146347,78751,78751,8,93.57,6.43
53,1333378,1254578,78800,78800,8,94.09,5.91
54,1315878,1237122,78756,78756,8,94.01,5.99
55,1455504,1377203,78301,78301,8,94.62,5.38
56,1365837,1287097,78740,78740,8,94.24,5.76
57,1223981,1145249,78732,78732,8,93.57,6.43
58,1279822,1200996,78826,78826,8,93.84,6.16
59,1224690,1146336,78354,78354,8,93.60,6.40
60,1238371,1159968,78403,78403,8,93.67,6.33
61,1238084,1159662,78422,78422,8,93.67,6.33
62,1237206,1158407,78799,78799,8,93.63,6.37
63,1258957,1180054,78903,78903,8,93.73,6.27
64,1355177,1273755,81422,81422,8,93.99,6.01
65,1172801,1091931,80870,80870,8,93.10,6.90
66,1277278,1195358,81920,81920,8,93.59,6.41
67,1227831,1146496,81335,81335,8,93.38,6.62
68,1181015,1099977,81038,81038,8,93.14,6.86
69,1165311,1084179,81132,81132,8,93.04,6.96
70,1169874,1089743,80131,80131,8,93.15,6.85
71,1153753,1073677,80076,80076,8,93.06,6.94
72,1159890,1079487,80403,80403,8,93.07,6.93
73,1161333,1080573,80760,80760,8,93.05,6.95
74,1153679,1073648,80031,80031,8,93.06,6.94
75,1153729,1073225,80504,80504,8,93.02,6.98
76,1167233,1086983,80250,80250,8,93.12,6.88
77,1180081,1099681,80400,80400,8,93.19,6.81
78,1183416,1102685,80731,80731,8,93.18,6.82
79,1172861,1092680,80181,80181,8,93.16,6.84
80,1180799,1099940,80859,80859,8,93.15,6.85
81,1159555,1078973,80582,80582,8,93.05,6.95
82,1156869,1076493,80376,80376,8,93.05,6.95
83,1161636,1081397,80239,80239,8,93.09,6.91
84,1154453,1074323,80130,80130,8,93.06,6.94
85,1160880,1079957,80923,80923,8,93.03,6.97
86,1165184,1085079,80105,80105,8,93.13,6.87
87,1199603,1119100,80503,80503,8,93.29,6.71
88,1456100,1375108,80992,80992,8,94.44,5.56
89,1171723,1090754,80969,80969,8,93.09,6.91
90,1162317,1081574,80743,80743,8,93.05,6.95
91,1161640,1081226,80414,80414,8,93.08,6.92
92,1159712,1079403,80309,80309,8,93.08,6.92
93,1160288,1078873,81415,81415,8,92.98,7.02
94,1166117,1085721,80396,80396,8,93.11,6.89
95,1154580,1074484,80096,80096,8,93.06,6.94
96,1159922,1079113,80809,80809,8,93.03,6.97
97,1162070,1081447,80623,80623,8,93.06,6.94
98,1158677,1078492,80185,80185,8,93.08,6.92
99,1161006,1080063,80943,80943,8,93.03,6.97
100,1254669,1174422,80247,80247,8,93.60,6.40
101,1158465,1077941,80524,80524,8,93.05,6.95
102,1165556,1084660,80896,80896,8,93.06,6.94
103,1159645,1079235,80410,80410,8,93.07,6.93
104,1218215,1137496,80719,80719,8,93.37,6.63
105,1157799,1077249,80550,80550,8,93.04,6.96
106,1156477,1076350,80127,80127,8,93.07,6.93
107,1162443,1082014,80429,80429,8,93.08,6.92
108,5923901,5832657,91244,91244,8,98.46,1.54
109,4202118,4111097,91021,91021,8,97.83,2.17
110,3069636,2979292,90344,90344,8,97.06,2.94
111,1278163,1195805,82358,82358,8,93.56,6.44
112,1244097,1161613,82484,82484,8,93.37,6.63
113,1201025,1117863,83162,83162,8,93.08,6.92
114,1971821,1881464,90357,90357,8,95.42,4.58
115,1449739,1359791,89948,89948,8,93.80,6.20
116,1177119,1096395,80724,80724,8,93.14,6.86
117,1178282,1097236,81046,81046,8,93.12,6.88
118,1161491,1080927,80564,80564,8,93.06,6.94
119,1164415,1084242,80173,80173,8,93.11,6.89
120,1164913,1084722,80191,80191,8,93.12,6.88
121,1162630,1081952,80678,80678,8,93.06,6.94
122,1177391,1096891,80500,80500,8,93.16,6.84
123,1183022,1102194,80828,80828,8,93.17,6.83
124,1191506,1110609,80897,80897,8,93.21,6.79
125,1187311,1106471,80840,80840,8,93.19,6.81
126,1205103,1124643,80460,80460,8,93.32,6.68
127,1244330,1163832,80498,80498,8,93.53,6.47
128,3670493,3577393,93100,93100,8,97.46,2.54
129,1205363,1125077,80286,80286,8,93.34,6.66
130,1204126,1123779,80347,80347,8,93.33,6.67
131,1203715,1122980,80735,80735,8,93.29,6.71
132,1208214,1127413,80801,80801,8,93.31,6.69
133,1217528,1136763,80765,80765,8,93.37,6.63
134,1202950,1122733,80217,80217,8,93.33,6.67
135,1203243,1123029,80214,80214,8,93.33,6.67
136,1209518,1128579,80939,80939,8,93.31,6.69
137,1206316,1125771,80545,80545,8,93.32,6.68
138,1208026,1126944,81082,81082,8,93.29,6.71
139,1205142,1124640,80502,80502,8,93.32,6.68
140,1210138,1129377,80761,80761,8,93.33,6.67
141,1214295,1133686,80609,80609,8,93.36,6.64
142,1200827,1122386,78441,78441,8,93.47,6.53
143,1215192,1136366,78826,78826,8,93.51,6.49
144,1202008,1122858,79150,79150,8,93.42,6.58
145,1196681,1117990,78691,78691,8,93.42,6.58
146,1195312,1116698,78614,78614,8,93.42,6.58
147,1197590,1118702,78888,78888,8,93.41,6.59
148,1195423,1116759,78664,78664,8,93.42,6.58
149,1196712,1118524,78188,78188,8,93.47,6.53
150,1195090,1116916,78174,78174,8,93.46,6.54
151,1197080,1118632,78448,78448,8,93.45,6.55
152,1195343,1116735,78608,78608,8,93.42,6.58
153,1196311,1118127,78184,78184,8,93.46,6.54
154,1195066,1116459,78607,78607,8,93.42,6.58
155,1195603,1117426,78177,78177,8,93.46,6.54
156,1203479,1124180,79299,79299,8,93.41,6.59
157,1197251,1118997,78254,78254,8,93.46,6.54
158,1194568,1116359,78209,78209,8,93.45,6.55
159,3497939,3409992,87947,87947,8,97.49,2.51
160,1194841,1116234,78607,78607,8,93.42,6.58
161,1196422,1117766,78656,78656,8,93.43,6.57
162,1194766,1116153,78613,78613,8,93.42,6.58
163,1202631,1124359,78272,78272,8,93.49,6.51
164,1203392,1123948,79444,79444,8,93.40,6.60
165,1195105,1116918,78187,78187,8,93.46,6.54
166,1194455,1116285,78170,78170,8,93.46,6.54
167,1194867,1116266,78601,78601,8,93.42,6.58
168,1218366,1139483,78883,78883,8,93.53,6.47
169,1201831,1123384,78447,78447,8,93.47,6.53
170,1201225,1122790,78435,78435,8,93.47,6.53
171,1202990,1124531,78459,78459,8,93.48,6.52
172,1328381,1248849,79532,79532,8,94.01,5.99
173,1222474,1143772,78702,78702,8,93.56,6.44
174,1216700,1138227,78473,78473,8,93.55,6.45
175,1209889,1131022,78867,78867,8,93.48,6.52
176,1216683,1137735,78948,78948,8,93.51,6.49
177,1202248,1123374,78874,78874,8,93.44,6.56
178,1195077,1116892,78185,78185,8,93.46,6.54
179,1195349,1117173,78176,78176,8,93.46,6.54
180,1195695,1117091,78604,78604,8,93.43,6.57
181,1196462,1118288,78174,78174,8,93.47,6.53
182,1197282,1118841,78441,78441,8,93.45,6.55
183,1196277,1117617,78660,78660,8,93.42,6.58
184,1194629,1116028,78601,78601,8,93.42,6.58
185,1195784,1117571,78213,78213,8,93.46,6.54
186,1194548,1115952,78596,78596,8,93.42,6.58
187,1206023,1127455,78568,78568,8,93.49,6.51
188,1206552,1127683,78869,78869,8,93.46,6.54
189,1196777,1118119,78658,78658,8,93.43,6.57
190,1194591,1116420,78171,78171,8,93.46,6.54
191,3901099,3812223,88876,88876,8,97.72,2.28
192,1252742,1170223,82519,82519,8,93.41,6.59
193,1153942,1072157,81785,81785,8,92.91,7.09
194,1158537,1076753,81784,81784,8,92.94,7.06
195,1138750,1056249,82501,82501,8,92.76,7.24
196,1112714,1030935,81779,81779,8,92.65,7.35
197,1113284,1031488,81796,81796,8,92.65,7.35
198,1098454,1016671,81783,81783,8,92.55,7.45
199,1101033,1018100,82933,82933,8,92.47,7.53
200,1097225,1015419,81806,81806,8,92.54,7.46
201,1101004,1018479,82525,82525,8,92.50,7.50
202,1097196,1015361,81835,81835,8,92.54,7.46
203,1096897,1014703,82194,82194,8,92.51,7.49
204,1170858,1088626,82232,82232,8,92.98,7.02
205,1101173,1017378,83795,83795,8,92.39,7.61
206,1105015,1021145,83870,83870,8,92.41,7.59
207,1106652,1021669,84983,84983,8,92.32,7.68
208,1108570,1024458,84112,84112,8,92.41,7.59
209,1116957,1032591,84366,84366,8,92.45,7.55
210,1111238,1027428,83810,83810,8,92.46,7.54
211,1114039,1029795,84244,84244,8,92.44,7.56
212,1123985,1039677,84308,84308,8,92.50,7.50
213,1229244,1144485,84759,84759,8,93.10,6.90
214,1111344,1027032,84312,84312,8,92.41,7.59
215,1110543,1026004,84539,84539,8,92.39,7.61
216,1104818,1020995,83823,83823,8,92.41,7.59
217,1121090,1036811,84279,84279,8,92.48,7.52
218,1110848,1027006,83842,83842,8,92.45,7.55
219,1108337,1023795,84542,84542,8,92.37,7.63
220,1106212,1022125,84087,84087,8,92.40,7.60
221,1105045,1021233,83812,83812,8,92.42,7.58
222,1105750,1021932,83818,83818,8,92.42,7.58
223,1105461,1020775,84686,84686,8,92.34,7.66
224,1108227,1024311,83916,83916,8,92.43,7.57
225,1106267,1022481,83786,83786,8,92.43,7.57
226,1108302,1024436,83866,83866,8,92.43,7.57
227,1164770,1080147,84623,84623,8,92.73,7.27
228,1118167,1034134,84033,84033,8,92.48,7.52
229,1111192,1026711,84481,84481,8,92.40,7.60
230,1120953,1036866,84087,84087,8,92.50,7.50
231,1110192,1025627,84565,84565,8,92.38,7.62
232,1104185,1019965,84220,84220,8,92.37,7.63
233,1106247,1022030,84217,84217,8,92.39,7.61
234,1104843,1021080,83763,83763,8,92.42,7.58
235,1115885,1031578,84307,84307,8,92.44,7.56
236,1104077,1020321,83756,83756,8,92.41,7.59
237,1104632,1020864,83768,83768,8,92.42,7.58
238,1104343,1020134,84209,84209,8,92.37,7.63
239,1104709,1020500,84209,84209,8,92.38,7.62
240,1106679,1022875,83804,83804,8,92.43,7.57
241,1110525,1026718,83807,83807,8,92.45,7.55
242,1326664,1232125,94539,94539,8,92.87,7.13
243,2077238,1985705,91533,91533,8,95.59,4.41
