Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,96576,91114,5462,5462,4,94.34,5.66
1,24577,22864,1713,1713,5,93.03,6.97
2,75063,67414,7649,7649,5,89.81,10.19
3,40988,38772,2216,2215,3,94.59,5.40
4,37559,35305,2254,2253,4,94.00,6.00
5,31258,29310,1948,1947,5,93.77,6.23
6,38516,36072,2444,2443,6,93.65,6.34
7,11055,10403,652,652,5,94.10,5.90
8,41212,40537,675,675,4,98.36,1.64
9,24575,23855,720,720,5,97.07,2.93
10,23571,22485,1086,1086,4,95.39,4.61
11,27191,25412,1779,1779,3,93.46,6.54
12,29231,27446,1785,1785,4,93.89,6.11
13,22255,20416,1839,1839,3,91.74,8.26
14,16008,14586,1422,1422,3,91.12,8.88
15,14033,13196,837,837,3,94.04,5.96
16,3603,3330,273,273,5,92.42,7.58
17,12195,11245,950,950,4,92.21,7.79
18,22267,21087,1180,1180,3,94.70,5.30
19,76951,68271,8680,8680,5,88.72,11.28
20,121600,113051,8549,8549,5,92.97,7.03
21,129200,120710,8490,8490,4,93.43,6.57
22,160955,152887,8068,8068,3,94.99,5.01
23,145645,138219,7426,7426,4,94.90,5.10
24,173288,159991,13297,13297,6,92.33,7.67
25,134724,121433,13291,13291,5,90.13,9.87
26,225278,211216,14062,14062,6,93.76,6.24
27,214567,200631,13936,13936,5,93.51,6.49
28,305216,284896,20320,20320,5,93.34,6.66
29,379894,359532,20362,20362,5,94.64,5.36
30,137371,130047,7324,7324,4,94.67,5.33
31,92718,79682,13036,13036,5,85.94,14.06
32,117780,111123,6657,6657,4,94.35,5.65
33,76582,69916,6666,6666,4,91.30,8.70
34,62334,55700,6634,6634,4,89.36,10.64
35,12624,10568,2056,2056,3,83.71,16.29
36,5135,3621,1514,1514,3,70.52,29.48
37,2455,2359,96,96,4,96.09,3.91
38,2367,2286,81,81,5,96.58,3.42
39,4823,4530,293,293,5,93.92,6.08
40,4582,4292,290,290,6,93.67,6.33
41,32788,30363,2425,2425,6,92.60,7.40
42,41549,39124,2425,2425,6,94.16,5.84
43,60284,57053,3231,3231,5,94.64,5.36
44,63925,60492,3433,3433,3,94.63,5.37
45,74316,70222,4094,4094,4,94.49,5.51
46,92388,86047,6341,6341,6,93.14,6.86
47,61597,59919,1678,1678,5,97.28,2.72
48,4218537,4216256,2281,2281,6,99.95,0.05
49,3438929,3437044,1885,1885,5,99.95,0.05
50,102233,98107,4126,4126,6,95.96,4.04
51,35148,31024,4124,4124,5,88.27,11.73
52,33189,30811,2378,2378,4,92.83,7.17
53,16800,15760,1040,1040,3,93.81,6.19
54,19606,17660,1946,1946,4,90.07,9.93
55,19754,17777,1977,1977,4,89.99,10.01
56,18856,16957,1899,1899,3,89.93,10.07
57,13755,12996,759,759,5,94.48,5.52
58,27231,25256,1975,1975,4,92.75,7.25
59,9937,8787,1150,1150,4,88.43,11.57
60,12477,10472,2005,2005,4,83.93,16.07
61,11075,9721,1354,1354,4,87.77,12.23
62,18207,16838,1369,1369,5,92.48,7.52
63,13213,11730,1483,1483,5,88.78,11.22
64,8714,8268,446,446,4,94.88,5.12
65,5375,4991,384,384,4,92.86,7.14
66,4023,3572,451,451,4,88.79,11.21
67,5386,5113,273,273,2,94.93,5.07
68,44407,41861,2546,2546,3,94.27,5.73
69,47046,44264,2782,2782,3,94.09,5.91
70,62926,59899,3027,3027,4,95.19,4.81
71,41696,38885,2811,2811,3,93.26,6.74
72,21574,18560,3014,3014,4,86.03,13.97
73,17611,14898,2713,2713,3,84.59,15.41
74,36140,33477,2663,2663,4,92.63,7.37
75,89506,79123,10383,10383,4,88.40,11.60
76,191832,183256,8576,8576,5,95.53,4.47
77,62203,53608,8595,8595,4,86.18,13.82
78,162589,153478,9111,9111,4,94.40,5.60
79,20311,17210,3101,3101,3,84.73,15.27
80,25349,22611,2738,2738,4,89.20,10.80
81,43019,39948,3071,3071,4,92.86,7.14
82,45319,42291,3028,3028,4,93.32,6.68
83,74710,71772,2938,2938,3,96.07,3.93
84,117974,109586,8388,8388,5,92.89,7.11
85,249205,241342,7863,7863,3,96.84,3.16
86,228767,220482,8285,8285,3,96.38,3.62
87,152150,151523,627,627,2,99.59,0.41
88,11999,10333,1666,1666,3,86.12,13.88
89,39210,35315,3895,3895,3,90.07,9.93
90,64444,63800,644,644,4,99.00,1.00
91,216768,208774,7994,7994,4,96.31,3.69
92,91733,86166,5567,5567,6,93.93,6.07
93,121773,114282,7491,7491,4,93.85,6.15
94,53580,50216,3364,3364,4,93.72,6.28
95,56209,52995,3214,3214,4,94.28,5.72
96,38794,35826,2968,2968,3,92.35,7.65
97,225123,219774,5349,5349,4,97.62,2.38
98,85882,80816,5066,5066,5,94.10,5.90
99,42900,39883,3017,3017,6,92.97,7.03
100,45343,42787,2556,2556,6,94.36,5.64
101,83450,76176,7274,7274,5,91.28,8.72
102,118406,108683,9723,9723,5,91.79,8.21
103,116118,106835,9283,9283,6,92.01,7.99
104,70061,59696,10365,10365,5,85.21,14.79
105,30369,28689,1680,1680,3,94.47,5.53
106,34011,29915,4096,4096,4,87.96,12.04
