Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,1105669,1024290,81379,81379,8,92.64,7.36
1,1082256,1001335,80921,80921,8,92.52,7.48
2,1084122,1002529,81593,81593,8,92.47,7.53
3,1080887,999763,81124,81124,8,92.49,7.51
4,1085637,1004332,81305,81305,8,92.51,7.49
5,1084693,1003230,81463,81463,8,92.49,7.51
6,1080434,999410,81024,81024,8,92.50,7.50
7,1088853,1007403,81450,81450,8,92.52,7.48
8,1095324,1013794,81530,81530,8,92.56,7.44
9,1093845,1012100,81745,81745,8,92.53,7.47
10,1084846,1003167,81679,81679,8,92.47,7.53
11,1087449,1005601,81848,81848,8,92.47,7.53
12,1083184,1002109,81075,81075,8,92.52,7.48
13,1082174,1000956,81218,81218,8,92.49,7.51
14,1081895,1000527,81368,81368,8,92.48,7.52
15,1080459,999217,81242,81242,8,92.48,7.52
16,1083513,1002485,81028,81028,8,92.52,7.48
17,1081198,999962,81236,81236,8,92.49,7.51
18,1090628,1009277,81351,81351,8,92.54,7.46
19,1082893,1001611,81282,81282,8,92.49,7.51
20,1082889,1001537,81352,81352,8,92.49,7.51
21,1084096,1002536,81560,81560,8,92.48,7.52
22,1083007,1001658,81349,81349,8,92.49,7.51
23,1098034,1016466,81568,81568,8,92.57,7.43
24,1080614,999574,81040,81040,8,92.50,7.50
25,1085320,1003805,81515,81515,8,92.49,7.51
26,1081265,999998,81267,81267,8,92.48,7.52
27,1081691,1000193,81498,81498,8,92.47,7.53
28,1081666,1000373,81293,81293,8,92.48,7.52
29,1868883,1775380,93503,93503,8,95.00,5.00
30,1086899,1005525,81374,81374,8,92.51,7.49
31,1094284,1012300,81984,81984,8,92.51,7.49
32,1089486,1008017,81469,81469,8,92.52,7.48
33,1091606,1010235,81371,81371,8,92.55,7.45
34,1085106,1004023,81083,81083,8,92.53,7.47
35,1085686,1004390,81296,81296,8,92.51,7.49
36,1100887,1019840,81047,81047,8,92.64,7.36
37,1305671,1211905,93766,93766,8,92.82,7.18
38,1112814,1031782,81032,81032,8,92.72,7.28
39,1102157,1020590,81567,81567,8,92.60,7.40
40,1105449,1024052,81397,81397,8,92.64,7.36
41,1156147,1074687,81460,81460,8,92.95,7.05
42,1244738,1163596,81142,81142,8,93.48,6.52
43,1273479,1179498,93981,93981,8,92.62,7.38
44,1272003,1178116,93887,93887,8,92.62,7.38
45,1202619,1120931,81688,81688,8,93.21,6.79
46,1234229,1152760,81469,81469,8,93.40,6.60
47,1177792,1095991,81801,81801,8,93.05,6.95
48,1167428,1086196,81232,81232,8,93.04,6.96
49,1358211,1276742,81469,81469,8,94.00,6.00
50,1363621,1282223,81398,81398,8,94.03,5.97
51,1228066,1146444,81622,81622,8,93.35,6.65
52,1188681,1106725,81956,81956,8,93.11,6.89
53,1324012,1242200,81812,81812,8,93.82,6.18
54,1303877,1222362,81515,81515,8,93.75,6.25
55,1472501,1390311,82190,82190,8,94.42,5.58
56,1365512,1283556,81956,81956,8,94.00,6.00
57,1196809,1114689,82120,82120,8,93.14,6.86
58,1261776,1179664,82112,82112,8,93.49,6.51
59,1196428,1114254,82174,82174,8,93.13,6.87
60,1212288,1130196,82092,82092,8,93.23,6.77
61,1212199,1129894,82305,82305,8,93.21,6.79
62,1211583,1129557,82026,82026,8,93.23,6.77
63,1236875,1154619,82256,82256,8,93.35,6.65
64,1318786,1235575,83211,83211,8,93.69,6.31
65,1112619,1030474,82145,82145,8,92.62,7.38
66,1241507,1157883,83624,83624,8,93.26,6.74
67,1174732,1091358,83374,83374,8,92.90,7.10
68,1118239,1035968,82271,82271,8,92.64,7.36
69,1098806,1016361,82445,82445,8,92.50,7.50
70,1111258,1029612,81646,81646,8,92.65,7.35
71,1087394,1005855,81539,81539,8,92.50,7.50
72,1094779,1012910,81869,81869,8,92.52,7.48
73,1093127,1011049,82078,82078,8,92.49,7.51
74,1087387,1005780,81607,81607,8,92.50,7.50
75,1086681,1005106,81575,81575,8,92.49,7.51
76,1105264,1023345,81919,81919,8,92.59,7.41
77,1122157,1039844,82313,82313,8,92.66,7.34
78,1126895,1044973,81922,81922,8,92.73,7.27
79,1114417,1032615,81802,81802,8,92.66,7.34
80,1117342,1035399,81943,81943,8,92.67,7.33
81,1094575,1012857,81718,81718,8,92.53,7.47
82,1090791,1008836,81955,81955,8,92.49,7.51
83,1096198,1014370,81828,81828,8,92.54,7.46
84,1087332,1005887,81445,81445,8,92.51,7.49
85,1088428,1006822,81606,81606,8,92.50,7.50
86,1087779,1006326,81453,81453,8,92.51,7.49
87,1138147,1056273,81874,81874,8,92.81,7.19
88,1469496,1387715,81781,81781,8,94.43,5.57
89,1107922,1025975,81947,81947,8,92.60,7.40
90,1097468,1015624,81844,81844,8,92.54,7.46
91,1095157,1013355,81802,81802,8,92.53,7.47
92,1090427,1009012,81415,81415,8,92.53,7.47
93,1094122,1012090,82032,82032,8,92.50,7.50
94,1099148,1017527,81621,81621,8,92.57,7.43
95,1085287,1003984,81303,81303,8,92.51,7.49
96,1090829,1009338,81491,81491,8,92.53,7.47
97,1094465,1012898,81567,81567,8,92.55,7.45
98,1090908,1009584,81324,81324,8,92.55,7.45
99,1093149,1010762,82387,82387,8,92.46,7.54
100,1207709,1126300,81409,81409,8,93.26,6.74
101,1087781,1006422,81359,81359,8,92.52,7.48
102,1096751,1015126,81625,81625,8,92.56,7.44
103,1091629,1009834,81795,81795,8,92.51,7.49
104,1161147,1079209,81938,81938,8,92.94,7.06
105,1089546,1008109,81437,81437,8,92.53,7.47
106,1087336,1006147,81189,81189,8,92.53,7.47
107,1091840,1009638,82202,82202,8,92.47,7.53
108,1103665,1021974,81691,81691,8,92.60,7.40
109,1255221,1173102,82119,82119,8,93.46,6.54
110,1426516,1332350,94166,94166,8,93.40,6.60
111,1931976,1838027,93949,93949,8,95.14,4.86
112,1543629,1449653,93976,93976,8,93.91,6.09
113,1352116,1257695,94421,94421,8,93.02,6.98
114,1115357,1033739,81618,81618,8,92.68,7.32
115,1116375,1034620,81755,81755,8,92.68,7.32
116,1162303,1068479,93824,93824,8,91.93,8.07
117,1250335,1156081,94254,94254,8,92.46,7.54
118,1094136,1012883,81253,81253,8,92.57,7.43
119,1093848,1012621,81227,81227,8,92.57,7.43
120,1092033,1011050,80983,80983,8,92.58,7.42
121,1088325,1007102,81223,81223,8,92.54,7.46
122,1109275,1027814,81461,81461,8,92.66,7.34
123,1112193,1030679,81514,81514,8,92.67,7.33
124,1120100,1038737,81363,81363,8,92.74,7.26
125,1115845,1034381,81464,81464,8,92.70,7.30
126,1113065,1031784,81281,81281,8,92.70,7.30
127,1140335,1058760,81575,81575,8,92.85,7.15
128,2016565,1919102,97463,97463,8,95.17,4.83
129,1128281,1046408,81873,81873,8,92.74,7.26
130,1121473,1039564,81909,81909,8,92.70,7.30
131,1121717,1039814,81903,81903,8,92.70,7.30
132,1122906,1040978,81928,81928,8,92.70,7.30
133,1141256,1059137,82119,82119,8,92.80,7.20
134,1120936,1039012,81924,81924,8,92.69,7.31
135,1121229,1039518,81711,81711,8,92.71,7.29
136,1127184,1044957,82227,82227,8,92.71,7.29
137,1124199,1042021,82178,82178,8,92.69,7.31
138,1121853,1039754,82099,82099,8,92.68,7.32
