Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,1297427,1209033,88394,88394,8,93.19,6.81
1,1263718,1175670,88048,88048,8,93.03,6.97
2,1314963,1226692,88271,88271,8,93.29,6.71
3,1336719,1248446,88273,88273,8,93.40,6.60
4,1298896,1210332,88564,88564,8,93.18,6.82
5,1249056,1160559,88497,88497,8,92.91,7.09
6,1244526,1156275,88251,88251,8,92.91,7.09
7,1224934,1136376,88558,88558,8,92.77,7.23
8,1234454,1145868,88586,88586,8,92.82,7.18
9,1225696,1136787,88909,88909,8,92.75,7.25
10,1224502,1135638,88864,88864,8,92.74,7.26
11,1219148,1130240,88908,88908,8,92.71,7.29
12,1215737,1127361,88376,88376,8,92.73,7.27
13,1213914,1125586,88328,88328,8,92.72,7.28
14,1213644,1125136,88508,88508,8,92.71,7.29
15,1211716,1123423,88293,88293,8,92.71,7.29
16,1215631,1127280,88351,88351,8,92.73,7.27
17,1212917,1124596,88321,88321,8,92.72,7.28
18,1224867,1136128,88739,88739,8,92.76,7.24
19,1215078,1126645,88433,88433,8,92.72,7.28
20,1214262,1125611,88651,88651,8,92.70,7.30
21,1215242,1126673,88569,88569,8,92.71,7.29
22,1214008,1125436,88572,88572,8,92.70,7.30
23,1231889,1142894,88995,88995,8,92.78,7.22
24,1211382,1123080,88302,88302,8,92.71,7.29
25,1216422,1127861,88561,88561,8,92.72,7.28
26,1212058,1123545,88513,88513,8,92.70,7.30
27,1212524,1123989,88535,88535,8,92.70,7.30
28,1213092,1124563,88529,88529,8,92.70,7.30
29,1213170,1124881,88289,88289,8,92.72,7.28
30,1218026,1129456,88570,88570,8,92.73,7.27
31,1223840,1135031,88809,88809,8,92.74,7.26
32,1218967,1130435,88532,88532,8,92.74,7.26
33,1216053,1127818,88235,88235,8,92.74,7.26
34,1216505,1128216,88289,88289,8,92.74,7.26
35,1216649,1128362,88287,88287,8,92.74,7.26
36,1214314,1125990,88324,88324,8,92.73,7.27
37,1220033,1131511,88522,88522,8,92.74,7.26
38,1215926,1127733,88193,88193,8,92.75,7.25
39,1230416,1141878,88538,88538,8,92.80,7.20
40,1237427,1148738,88689,88689,8,92.83,7.17
41,1268456,1180125,88331,88331,8,93.04,6.96
42,1341373,1252958,88415,88415,8,93.41,6.59
43,1328135,1239838,88297,88297,8,93.35,6.65
44,1333650,1245321,88329,88329,8,93.38,6.62
45,1309002,1220552,88450,88450,8,93.24,6.76
46,1318014,1229375,88639,88639,8,93.27,6.73
47,1273389,1184755,88634,88634,8,93.04,6.96
48,1269389,1180833,88556,88556,8,93.02,6.98
49,1409518,1320901,88617,88617,8,93.71,6.29
50,1425677,1337007,88670,88670,8,93.78,6.22
51,1322598,1233843,88755,88755,8,93.29,6.71
52,1307000,1217765,89235,89235,8,93.17,6.83
53,1412054,1323470,88584,88584,8,93.73,6.27
54,1394064,1305605,88459,88459,8,93.65,6.35
55,1531028,1442602,88426,88426,8,94.22,5.78
56,1443212,1354778,88434,88434,8,93.87,6.13
57,1303860,1215446,88414,88414,8,93.22,6.78
58,1359501,1270894,88607,88607,8,93.48,6.52
59,1304985,1216434,88551,88551,8,93.21,6.79
60,1318246,1229646,88600,88600,8,93.28,6.72
61,1317795,1229222,88573,88573,8,93.28,6.72
62,1317349,1228725,88624,88624,8,93.27,6.73
63,1339393,1250630,88763,88763,8,93.37,6.63
64,1427974,1342586,85388,85388,8,94.02,5.98
65,1251034,1166436,84598,84598,8,93.24,6.76
66,1348669,1263524,85145,85145,8,93.69,6.31
67,1300519,1215265,85254,85254,8,93.44,6.56
68,1255033,1170417,84616,84616,8,93.26,6.74
69,1238669,1153928,84741,84741,8,93.16,6.84
70,1243421,1159284,84137,84137,8,93.23,6.77
71,1227725,1143481,84244,84244,8,93.14,6.86
72,1232755,1148235,84520,84520,8,93.14,6.86
73,1234834,1150372,84462,84462,8,93.16,6.84
74,1227466,1143221,84245,84245,8,93.14,6.86
75,1227508,1143295,84213,84213,8,93.14,6.86
76,1240544,1156244,84300,84300,8,93.20,6.80
77,1253259,1168858,84401,84401,8,93.27,6.73
