Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,1672649,1666711,5938,5937,4,99.64,0.35
1,554522,552303,2219,2219,4,99.60,0.40
2,85122,76959,8163,8162,4,90.41,9.59
3,52359,49563,2796,2796,3,94.66,5.34
4,48882,46043,2839,2839,5,94.19,5.81
5,19454346,19451805,2541,2541,6,99.99,0.01
6,6390257,6387223,3034,3034,6,99.95,0.05
7,73488,72286,1202,1202,4,98.36,1.64
8,102815,101671,1144,1144,2,98.89,1.11
9,84715,83547,1168,1168,4,98.62,1.38
10,86364,84659,1705,1705,4,98.03,1.97
11,90170,87755,2415,2415,3,97.32,2.68
12,92178,89765,2413,2413,3,97.38,2.62
13,85106,82650,2456,2456,3,97.11,2.89
14,127725,125750,1975,1975,3,98.45,1.55
15,89920,88251,1669,1669,3,98.14,1.86
16,8388416,8387096,1320,1320,5,99.98,0.02
17,6842777,6840688,2089,2089,4,99.97,0.03
18,76119,73777,2342,2342,4,96.92,3.08
19,88394,78949,9445,9445,5,89.31,10.69
20,130894,121850,9044,9044,5,93.09,6.91
21,127780,119314,8466,8466,4,93.37,6.63
22,158326,150291,8035,8035,3,94.93,5.07
23,144135,136723,7412,7412,5,94.86,5.14
24,170683,157560,13123,13123,7,92.31,7.69
25,132464,119421,13043,13043,6,90.15,9.85
26,222664,208757,13907,13907,8,93.75,6.25
27,211286,197567,13719,13719,8,93.51,6.49
28,299920,279950,19970,19970,8,93.34,6.66
29,374009,353956,20053,20053,6,94.64,5.36
30,135864,128588,7276,7276,4,94.64,5.36
31,91331,78533,12798,12798,5,85.99,14.01
32,116200,109660,6540,6540,6,94.37,5.63
33,75301,68777,6524,6524,4,91.34,8.66
34,61468,54969,6499,6499,4,89.43,10.57
35,12844,10731,2113,2113,3,83.55,16.45
36,5390,3834,1556,1556,4,71.13,28.87
37,4749953,4748926,1027,1027,4,99.98,0.02
38,6303131,6302053,1078,1078,5,99.98,0.02
39,5528,5127,401,401,5,92.75,7.25
40,4427,4161,266,266,6,93.99,6.01
41,31260,28901,2359,2359,6,92.45,7.55
42,39285,36955,2330,2330,6,94.07,5.93
43,57731,54651,3080,3080,5,94.66,5.34
44,61302,57999,3303,3303,4,94.61,5.39
45,71752,67757,3995,3995,4,94.43,5.57
46,65684,59629,6055,6055,5,90.78,9.22
47,29805,28334,1471,1471,5,95.06,4.94
48,27109,25296,1813,1813,6,93.31,6.69
49,27173,25716,1457,1457,5,94.64,5.36
50,80751,76924,3827,3827,5,95.26,4.74
51,35916,31883,4033,4033,5,88.77,11.23
52,26705,24588,2117,2117,4,92.07,7.93
53,17287,16215,1072,1072,4,93.80,6.20
54,19965,18000,1965,1965,5,90.16,9.84
55,22270,20206,2064,2064,4,90.73,9.27
56,18165,16290,1875,1875,3,89.68,10.32
57,12617,11974,643,643,3,94.90,5.10
58,26725,24788,1937,1937,4,92.75,7.25
59,13672,12396,1276,1276,4,90.67,9.33
60,13043,10955,2088,2088,4,83.99,16.01
61,11313,9881,1432,1432,4,87.34,12.66
62,19155,17686,1469,1469,5,92.33,7.67
63,15270,13672,1598,1598,5,89.54,10.46
64,11368,10828,540,540,4,95.25,4.75
65,9257,8779,478,478,4,94.84,5.16
66,4464,3996,468,468,4,89.52,10.48
67,5620,5336,284,284,2,94.95,5.05
68,42495,40067,2428,2428,2,94.29,5.71
69,44865,42199,2666,2666,2,94.06,5.94
70,60202,57314,2888,2888,4,95.20,4.80
71,39792,37129,2663,2663,3,93.31,6.69
72,20698,17806,2892,2892,4,86.03,13.97
73,9822,7232,2590,2590,3,73.63,26.37
74,31854,29319,2535,2535,3,92.04,7.96
75,85645,75492,10153,10153,4,88.15,11.85
76,167635,159178,8457,8457,4,94.96,5.04
77,61540,53057,8483,8483,4,86.22,13.78
78,133676,125117,8559,8559,4,93.60,6.40
79,11943,9428,2515,2515,3,78.94,21.06
80,25028,22457,2571,2571,4,89.73,10.27
81,48702,45778,2924,2924,5,94.00,6.00
82,53684,50794,2890,2890,4,94.62,5.38
83,112866,110063,2803,2803,3,97.52,2.48
84,130553,122285,8268,8268,5,93.67,6.33
85,258853,250677,8176,8176,3,96.84,3.16
86,245800,237647,8153,8153,3,96.68,3.32
87,47346,46835,511,511,2,98.92,1.08
88,1792,1575,217,217,3,87.89,12.11
89,50866,47972,2894,2894,3,94.31,5.69
90,126377,125721,656,656,4,99.48,0.52
91,266635,258718,7917,7917,4,97.03,2.97
92,83543,78385,5158,5158,6,93.83,6.17
93,119705,112342,7363,7363,4,93.85,6.15
94,51644,48352,3292,3292,4,93.63,6.37
95,54451,51294,3157,3157,4,94.20,5.80
96,35879,33152,2727,2727,3,92.40,7.60
97,66733,63644,3089,3089,4,95.37,4.63
98,49206,46419,2787,2787,5,94.34,5.66
99,41711,38914,2797,2797,5,93.29,6.71
100,43020,40568,2452,2452,5,94.30,5.70
101,81785,74526,7259,7259,5,91.12,8.88
102,117003,107481,9522,9522,5,91.86,8.14
103,113059,103906,9153,9153,6,91.90,8.10
104,68571,58319,10252,10252,5,85.05,14.95
105,39096,37371,1725,1725,4,95.59,4.41
106,36669,32624,4045,4045,5,88.97,11.03
107,6045,3573,2472,2472,3,59.11,40.89
108,32645,30236,2409,2409,3,92.62,7.38
109,3817,3514,303,303,4,92.06,7.94
110,21803,20780,1023,1023,4,95.31,4.69
111,22498,21443,1055,1055,4,95.31,4.69
112,11768,10749,1019,1019,5,91.34,8.66
113,11555,9135,2420,2420,5,79.06,20.94
114,2582,2454,128,128,6,95.04,4.96
115,152333,143666,8667,8667,6,94.31,5.69
116,109626,103183,6443,6443,5,94.12,5.88
117,76959,69834,7125,7125,6,90.74,9.26
118,17438,15962,1476,1476,6,91.54,8.46
119,66561,58798,7763,7763,5,88.34,11.66
120,25626,23602,2024,2024,6,92.10,7.90
121,87226,79423,7803,7803,6,91.05,8.95
122,30745,29180,1565,1565,5,94.91,5.09
123,28109,25810,2299,2299,6,91.82,8.18
124,98593,91665,6928,6928,7,92.97,7.03
125,125132,114857,10275,10275,4,91.79,8.21
126,9446,6543,2903,2903,6,69.27,30.73
127,5825,4825,1000,1000,5,82.83,17.17
128,29248,27349,1899,1899,4,93.51,6.49
129,9821,8989,832,832,3,91.53,8.47
130,10154,9127,1027,1027,4,89.89,10.11
131,13277,12544,733,733,4,94.48,5.52
132,10670,10013,657,657,4,93.84,6.16
133,20300,19139,1161,1161,4,94.28,5.72
134,14510,13445,1065,1065,4,92.66,7.34
135,4720,4181,539,539,3,88.58,11.42
136,4861,4399,462,462,3,90.50,9.50
137,9158,8535,623,623,4,93.20,6.80
138,36247,34947,1300,1300,3,96.41,3.59
139,15326,14252,1074,1074,3,92.99,7.01
140,38972,35597,3375,3375,4,91.34,8.66
141,64082,60687,3395,3395,4,94.70,5.30
142,58844,55284,3560,3560,4,93.95,6.05
143,55182,51633,3549,3549,5,93.57,6.43
144,27125,23028,4097,4097,7,84.90,15.10
145,16443,14800,1643,1643,5,90.01,9.99
146,22000,19158,2842,2842,6,87.08,12.92
147,22207,19994,2213,2213,6,90.03,9.97
148,15637,13435,2202,2202,5,85.92,14.08
149,17133,15561,1572,1572,5,90.82,9.18
150,14528,13656,872,872,4,94.00,6.00
151,16432,15224,1208,1208,5,92.65,7.35
152,19841,18620,1221,1221,5,93.85,6.15
153,6894,6445,449,449,5,93.49,6.51
154,22178,21005,1173,1173,6,94.71,5.29
155,11604,10499,1105,1105,5,90.48,9.52
156,9675,7946,1729,1729,5,82.13,17.87
157,28447,26857,1590,1590,5,94.41,5.59
158,20877,18922,1955,1955,4,90.64,9.36
159,12786,11723,1063,1063,5,91.69,8.31
160,8965,7568,1397,1397,5,84.42,15.58
