Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
244,1619252,1603064,16188,16180,8,99.00,1.00
245,1383090,1367104,15986,15978,8,98.84,1.16
246,1394955,1378997,15958,15950,8,98.86,1.14
247,1695881,1679989,15892,15884,8,99.06,0.94
248,3224791,3208761,16030,16022,8,99.50,0.50
249,2987742,2972036,15706,15698,8,99.47,0.53
250,3027615,3011881,15734,15726,8,99.48,0.52
251,2203813,2188092,15721,15713,8,99.29,0.71
252,950537,934879,15658,15650,8,98.35,1.65
253,966752,951062,15690,15682,8,98.38,1.62
254,879615,863763,15852,15844,8,98.20,1.80
255,3486195,3470389,15806,15798,8,99.55,0.45
