N,MC16_NC16_KC64,MC16_NC16_KC128,MC16_NC16_KC192,MC16_NC16_KC256,MC16_NC16_KC320,MC16_NC16_KC384,MC16_NC16_KC448,MC16_NC16_KC512,MC16_NC16_KC576,MC16_NC16_KC640,MC32_NC32_KC64,MC32_NC32_KC128,MC32_NC32_KC192,MC32_NC32_KC256,MC32_NC32_KC320,MC32_NC32_KC384,MC32_NC32_KC448,MC32_NC32_KC512,MC32_NC32_KC576,MC32_NC32_KC640,MC64_NC64_KC64,MC64_NC64_KC128,MC64_NC64_KC192,MC64_NC64_KC256,MC64_NC64_KC320,MC64_NC64_KC384,MC64_NC64_KC448,MC64_NC64_KC512,MC64_NC64_KC576,MC64_NC64_KC640,MC96_NC96_KC64,MC96_NC96_KC128,MC96_NC96_KC192,MC96_NC96_KC256,MC96_NC96_KC320,MC96_NC96_KC384,MC96_NC96_KC448,MC96_NC96_KC512,MC96_NC96_KC576,MC96_NC96_KC640,MC128_NC128_KC64,MC128_NC128_KC128,MC128_NC128_KC192,MC128_NC128_KC256,MC128_NC128_KC320,MC128_NC128_KC384,MC128_NC128_KC448,MC128_NC128_KC512,MC128_NC128_KC576,MC128_NC128_KC640,MC256_NC256_KC64,MC256_NC256_KC128,MC256_NC256_KC192,MC256_NC256_KC256,MC256_NC256_KC320,MC256_NC256_KC384,MC256_NC256_KC448,MC256_NC256_KC512,MC256_NC256_KC576,MC256_NC256_KC640
16,4.73,4.721,4.606,4.643,4.765,4.742,4.776,4.716,4.711,3.474,4.721,4.73,3.5,4.747,4.625,4.614,4.667,4.576,3.474,4.684,4.552,4.74,4.713,4.729,4.561,4.721,4.77,4.701,4.683,4.671,4.74,3.574,4.688,4.721,4.666,4.705,4.666,4.612,3.503,3.582,3.498,4.615,3.506,3.507,4.739,4.588,4.603,4.692,4.661,4.748,4.767,4.629,4.636,2.884,3.576,4.683,4.719,4.67,4.584,4.742
32,9.891,9.83,9.837,9.823,9.783,9.902,9.872,9.813,7.549,9.84,12.19,11.035,11.086,11.085,12.193,11.087,11.061,11.001,7.393,12.177,11.092,11.037,12.191,11.024,9.038,11.024,12.16,11.055,12.191,12.217,11.095,11.056,12.219,11.034,11.056,11.134,12.212,12.247,12.175,11.084,11.048,12.214,11.047,11.055,12.304,11.078,12.217,12.208,12.088,11.021,11.134,11.084,12.148,12.143,11.069,11.066,12.224,12.19,11.028,11.091
48,11.864,11.49,11.876,11.497,11.078,11.595,11.569,11.503,11.51,11.534,12.72,12.718,12.765,12.733,12.707,12.364,12.168,12.704,12.739,12.29,12.846,14.109,13.728,14.109,12.037,14.102,13.689,14.095,13.688,13.668,14.079,13.342,13.739,12.534,13.695,13.687,14.098,13.742,13.686,14.086,13.735,13.681,14.082,12.169,13.659,12.172,13.694,13.734,12.112,14.116,14.042,13.696,13.7,11.895,13.626,14.058,13.682,13.696,14.09,13.701
64,12.15,12.401,11.64,12.38,12.417,12.239,11.655,12.234,12.407,12.407,13.83,13.923,14.127,14.139,14.133,13.539,13.966,14.112,14.115,10.21,10.805,14.066,14.779,14.603,14.726,14.421,13.879,14.746,14.744,14.524,14.813,13.847,14.715,14.792,14.765,14.753,14.798,14.163,14.794,14.764,10.551,14.723,14.743,14.268,14.756,14.771,14.769,14.762,13.645,13.421,14.756,14.784,14.758,14.742,14.777,14.759,14.761,13.817,14.762,13.649
80,10.287,12.13,12.534,12.133,12.478,12.312,12.534,12.324,12.477,11.959,13.445,13.753,13.736,13.127,13.785,13.579,13.425,13.826,13.728,13.768,14.168,13.871,11.452,13.885,14.202,13.805,14.026,14.19,14.193,13.92,15.009,14.747,14.554,14.598,14.159,12.592,14.746,14.753,14.738,14.751,14.387,14.577,14.755,14.766,12.346,14.597,12.51,14.735,14.402,14.736,14.926,12.201,14.731,14.756,14.714,14.218,14.746,14.745,14.733,14.761
96,12.136,12.665,11.639,12.575,12.155,11.464,11.562,12.659,12.602,12.66,14.16,12.817,13.886,14.156,14.145,14.147,13.818,14.148,14.062,14.142,14.691,14.276,14.238,14.23,12.788,14.26,12.899,14.264,14.305,14.504,13.602,14.681,14.787,14.505,14.79,14.71,14.505,14.625,14.543,13.059,15.453,14.78,14.579,13.102,14.801,12.768,14.708,13.127,13.015,14.787,13.645,14.799,14.782,12.909,14.697,14.689,14.679,14.787,14.689,14.807
112,11.964,12.497,12.571,12.442,11.845,12.598,12.545,11.632,11.658,11.743,14.475,13.674,12.689,13.557,13.582,13.751,13.746,13.737,12.91,13.719,15.469,14.381,13.463,13.42,14.567,14.486,14.49,14.533,13.47,14.39,14.977,14.44,14.358,14.448,14.277,13.358,13.519,13.479,14.508,14.48,15.123,14.688,14.684,14.931,13.624,14.868,13.66,14.886,14.875,14.808,15.379,13.542,14.879,14.816,14.596,13.542,13.725,13.731,14.706,14.783
128,12.639,12.353,12.442,12.343,11.838,12.455,12.416,11.785,11.81,11.858,15.107,13.844,13.184,13.632,13.184,13.856,13.756,13.922,13.304,13.754,15.366,14.331,13.738,13.743,14.556,13.759,14.496,14.548,13.891,14.339,15.199,14.503,13.687,14.571,14.509,13.867,13.929,14.566,13.87,14.448,14.303,14.862,14.098,14.998,14.046,14.892,14.037,14.755,14.899,14.928,15.289,14.035,14.039,14.925,14.01,14.145,14.158,14.298,14.154,14.92
144,12.516,11.788,11.906,11.945,11.929,11.92,11.923,12.29,12.321,12.227,13.97,13.045,13.069,13.175,13.575,13.145,13.515,13.019,13.114,13.638,14.86,14.207,13.666,13.66,13.637,14.13,13.699,14.099,13.723,14.176,15.408,14.707,14.511,14.506,13.954,14.026,13.95,13.96,14.465,14.074,14.943,14.172,14.447,14.243,14.049,14.145,14.139,14.132,14.223,14.629,15.394,14.38,14.934,14.394,14.838,14.325,14.382,14.448,14.834,14.978
160,12.537,12.198,11.992,11.977,11.927,11.994,11.99,11.985,11.965,11.978,14.814,13.837,13.252,13.557,13.285,13.359,13.564,13.361,13.29,13.271,15.03,14.305,13.895,13.871,14.183,13.875,14.186,13.92,13.784,13.822,15.137,14.571,14.149,14.16,14.511,14.18,14.224,14.17,14.218,14.458,14.882,14.939,14.24,14.551,14.243,14.246,14.236,14.591,14.551,14.214,14.913,14.695,14.504,14.538,14.496,14.529,14.528,14.54,14.505,14.482
