Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,116973,110762,6211,6211,4,94.69,5.31
1,29758,28104,1654,1654,4,94.44,5.56
2,80154,71921,8233,8232,3,89.73,10.27
3,40749,38582,2167,2166,4,94.68,5.32
4,36735,34553,2182,2181,5,94.06,5.94
5,29618,27793,1825,1824,4,93.84,6.16
6,36892,34581,2311,2310,4,93.74,6.26
7,10308,9731,577,577,3,94.40,5.60
8,50415,49818,597,597,3,98.82,1.18
9,28013,27408,605,605,4,97.84,2.16
10,24157,23126,1031,1031,4,95.73,4.27
11,25902,24189,1713,1713,3,93.39,6.61
12,27931,26218,1713,1713,3,93.87,6.13
13,21036,19284,1752,1752,3,91.67,8.33
14,15165,13802,1363,1363,3,91.01,8.99
15,13560,12754,806,806,3,94.06,5.94
16,3451,3196,255,255,5,92.61,7.39
17,16300,14976,1324,1324,4,91.88,8.12
18,28805,27258,1547,1547,4,94.63,5.37
19,94752,84986,9766,9766,5,89.69,10.31
20,141097,131475,9622,9622,4,93.18,6.82
21,148159,138569,9590,9590,3,93.53,6.47
22,184427,175238,9189,9189,3,95.02,4.98
23,169359,160806,8553,8553,4,94.95,5.05
24,193298,178466,14832,14832,6,92.33,7.67
25,155177,139954,15223,15223,4,90.19,9.81
26,267662,251691,15971,15971,5,94.03,5.97
27,251468,235620,15848,15848,6,93.70,6.30
28,340427,317807,22620,22620,6,93.36,6.64
29,423006,400345,22661,22661,5,94.64,5.36
30,152750,144671,8079,8079,4,94.71,5.29
31,103633,89039,14594,14594,5,85.92,14.08
32,131216,123785,7431,7431,4,94.34,5.66
33,85283,77846,7437,7437,4,91.28,8.72
34,71381,63978,7403,7403,4,89.63,10.37
35,16791,14771,2020,2020,3,87.97,12.03
36,7718,6244,1474,1474,3,80.90,19.10
37,5575,5469,106,106,4,98.10,1.90
38,4068,3987,81,81,5,98.01,1.99
39,7923,7633,290,290,5,96.34,3.66
40,6366,6080,286,286,6,95.51,4.49
41,50296,47100,3196,3196,6,93.65,6.35
42,56992,53825,3167,3167,6,94.44,5.56
43,73158,69212,3946,3946,5,94.61,5.39
44,103830,99663,4167,4167,3,95.99,4.01
45,90555,85754,4801,4801,5,94.70,5.30
46,90500,83724,6776,6776,6,92.51,7.49
47,31064,29647,1417,1417,5,95.44,4.56
48,26549,24809,1740,1740,6,93.45,6.55
49,25249,23910,1339,1339,5,94.70,5.30
50,98845,94257,4588,4588,6,95.36,4.64
51,35942,31104,4838,4838,6,86.54,13.46
52,25382,23368,2014,2014,4,92.07,7.93
53,16303,15291,1012,1012,4,93.79,6.21
54,19062,17173,1889,1889,4,90.09,9.91
55,19127,17215,1912,1912,4,90.00,10.00
56,17743,15943,1800,1800,5,89.86,10.14
57,12941,12306,635,635,4,95.09,4.91
58,27002,25103,1899,1899,5,92.97,7.03
59,9002,7903,1099,1099,4,87.79,12.21
60,11756,9821,1935,1935,5,83.54,16.46
61,10809,9488,1321,1321,5,87.78,12.22
62,17910,16561,1349,1349,5,92.47,7.53
63,12982,11552,1430,1430,5,88.98,11.02
64,8011,7598,413,413,4,94.84,5.16
65,4944,4576,368,368,4,92.56,7.44
66,4190,3752,438,438,4,89.55,10.45
67,5416,5136,280,280,2,94.83,5.17
68,57427,54108,3319,3319,3,94.22,5.78
69,61053,57484,3569,3569,5,94.15,5.85
70,79783,76003,3780,3780,4,95.26,4.74
71,53144,49584,3560,3560,4,93.30,6.70
72,26099,22307,3792,3792,4,85.47,14.53
73,12278,8773,3505,3505,4,71.45,28.55
74,43925,40484,3441,3441,3,92.17,7.83
75,97705,85803,11902,11902,4,87.82,12.18
76,180976,171659,9317,9317,7,94.85,5.15
77,65720,56381,9339,9339,6,85.79,14.21
78,145011,135616,9395,9395,5,93.52,6.48
79,15464,12058,3406,3406,3,77.97,22.03
80,28294,24831,3463,3463,4,87.76,12.24
81,47341,43980,3361,3361,4,92.90,7.10
82,53022,49691,3331,3331,3,93.72,6.28
83,49014,45756,3258,3258,3,93.35,6.65
84,123094,114412,8682,8682,5,92.95,7.05
85,280123,271532,8591,8591,4,96.93,3.07
86,247904,239339,8565,8565,3,96.55,3.45
87,930,861,69,69,2,92.58,7.42
88,1684,1474,210,210,3,87.53,12.47
89,22279,18941,3338,3338,3,85.02,14.98
90,3055,2846,209,209,4,93.16,6.84
91,178052,169750,8302,8302,4,95.34,4.66
92,82004,76904,5100,5100,6,93.78,6.22
93,136039,127840,8199,8199,4,93.97,6.03
94,67181,63069,4112,4112,4,93.88,6.12
95,71433,67465,3968,3968,4,94.45,5.55
96,46529,42964,3565,3565,3,92.34,7.66
97,89962,86006,3956,3956,4,95.60,4.40
98,66154,62488,3666,3666,5,94.46,5.54
99,53897,50301,3596,3596,5,93.33,6.67
100,59053,55740,3313,3313,4,94.39,5.61
101,102109,94071,8038,8038,4,92.13,7.87
102,133286,122031,11255,11255,5,91.56,8.44
103,139038,128234,10804,10804,6,92.23,7.77
104,83610,71737,11873,11873,5,85.80,14.20
105,30313,28672,1641,1641,3,94.59,5.41
106,39275,34439,4836,4836,6,87.69,12.31
107,6589,3247,3342,3342,4,49.28,50.72
108,8818,5580,3238,3238,3,63.28,36.72
109,3433,3162,271,271,4,92.11,7.89
110,10472,9269,1203,1203,4,88.51,11.49
111,26652,25463,1189,1189,4,95.54,4.46
112,1055569,1054151,1418,1418,5,99.87,0.13
113,862443,858690,3753,3753,5,99.56,0.44
114,7646,7265,381,381,6,95.02,4.98
115,174696,164238,10458,10458,6,94.01,5.99
116,119015,111407,7608,7608,5,93.61,6.39
117,85637,77674,7963,7963,6,90.70,9.30
118,16815,15386,1429,1429,6,91.50,8.50
119,71884,63282,8602,8602,6,88.03,11.97
120,24354,22408,1946,1946,7,92.01,7.99
121,93642,84972,8670,8670,6,90.74,9.26
122,25871,24438,1433,1433,5,94.46,5.54
123,26783,24638,2145,2145,6,91.99,8.01
124,109364,101776,7588,7587,7,93.06,6.94
125,132848,121914,10934,10933,4,91.77,8.23
126,9105,6333,2772,2771,6,69.56,30.43
127,5483,4540,943,942,5,82.80,17.18
128,27800,25999,1801,1800,4,93.52,6.47
