Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,1124473,1046967,77506,77506,8,93.11,6.89
1,1102943,1025911,77032,77032,8,93.02,6.98
2,1103706,1026770,76936,76936,8,93.03,6.97
3,1101438,1024113,77325,77325,8,92.98,7.02
4,1106284,1028896,77388,77388,8,93.00,7.00
5,1105614,1028240,77374,77374,8,93.00,7.00
6,1102446,1025435,77011,77011,8,93.01,6.99
7,1110047,1032431,77616,77616,8,93.01,6.99
8,1115650,1038419,77231,77231,8,93.08,6.92
9,1115521,1037837,77684,77684,8,93.04,6.96
10,1105838,1028343,77495,77495,8,92.99,7.01
11,1108569,1030885,77684,77684,8,92.99,7.01
12,1104138,1026935,77203,77203,8,93.01,6.99
13,1103289,1026098,77191,77191,8,93.00,7.00
14,1102843,1025408,77435,77435,8,92.98,7.02
15,1101413,1024055,77358,77358,8,92.98,7.02
16,1104433,1027878,76555,76555,8,93.07,6.93
17,1102343,1025590,76753,76753,8,93.04,6.96
18,1112655,1035204,77451,77451,8,93.04,6.96
19,1104230,1027020,77210,77210,8,93.01,6.99
20,1103791,1026537,77254,77254,8,93.00,7.00
21,1105749,1028125,77624,77624,8,92.98,7.02
22,1105146,1027663,77483,77483,8,92.99,7.01
23,1119725,1042084,77641,77641,8,93.07,6.93
24,1101350,1024178,77172,77172,8,92.99,7.01
25,1106492,1029080,77412,77412,8,93.00,7.00
26,1102019,1024789,77230,77230,8,92.99,7.01
27,1102497,1024884,77613,77613,8,92.96,7.04
28,1102440,1025024,77416,77416,8,92.98,7.02
29,3200463,3112888,87575,87575,8,97.26,2.74
30,1107711,1030453,77258,77258,8,93.03,6.97
31,1117513,1039699,77814,77814,8,93.04,6.96
32,1112872,1035302,77570,77570,8,93.03,6.97
33,1122736,1045250,77486,77486,8,93.10,6.90
34,1105848,1028828,77020,77020,8,93.04,6.96
35,1106473,1029079,77394,77394,8,93.01,6.99
36,1107347,1030351,76996,76996,8,93.05,6.95
37,1638532,1550689,87843,87843,8,94.64,5.36
38,1111363,1034425,76938,76938,8,93.08,6.92
39,1120144,1042561,77583,77583,8,93.07,6.93
40,1126482,1049207,77275,77275,8,93.14,6.86
41,1166789,1089314,77475,77475,8,93.36,6.64
42,1253696,1176633,77063,77063,8,93.85,6.15
43,1368329,1280415,87914,87914,8,93.58,6.42
44,1366400,1279172,87228,87228,8,93.62,6.38
45,1210816,1133214,77602,77602,8,93.59,6.41
46,1221854,1144635,77219,77219,8,93.68,6.32
47,1172266,1094667,77599,77599,8,93.38,6.62
48,1166809,1090198,76611,76611,8,93.43,6.57
49,1320030,1242997,77033,77033,8,94.16,5.84
50,1329767,1252551,77216,77216,8,94.19,5.81
51,1222066,1144505,77561,77561,8,93.65,6.35
52,1199877,1122169,77708,77708,8,93.52,6.48
53,1313654,1235940,77714,77714,8,94.08,5.92
54,1295146,1217865,77281,77281,8,94.03,5.97
55,1440143,1362485,77658,77658,8,94.61,5.39
