Cycles MFLOPS
N,MC4096_NC128_KC32,MC4096_NC128_KC64,MC4096_NC128_KC128,MC4096_NC128_KC256,MC4096_NC128_KC384,MC4096_NC256_KC32,MC4096_NC256_KC64,MC4096_NC256_KC128,MC4096_NC256_KC256,MC4096_NC256_KC384,MC4096_NC512_KC32,MC4096_NC512_KC64,MC4096_NC512_KC128,MC4096_NC512_KC256,MC4096_NC512_KC384,MC4096_NC4096_KC32,MC4096_NC4096_KC64,MC4096_NC4096_KC128,MC4096_NC4096_KC256,MC4096_NC4096_KC384
144,0.567,0.612,0.615,0.634,0.634,0.577,0.606,0.623,0.643,0.643,0.577,0.607,0.639,0.643,0.657,0.586,0.607,0.624,0.657,0.643
160,0.579,0.609,0.626,0.643,0.644,0.588,0.618,0.634,0.651,0.649,0.589,0.617,0.633,0.652,0.651,0.589,0.618,0.634,0.651,0.651
176,0.57,0.619,0.633,0.642,0.641,0.585,0.626,0.64,0.648,0.656,0.585,0.626,0.641,0.649,0.657,0.586,0.626,0.641,0.656,0.649
192,0.582,0.626,0.634,0.655,0.649,0.589,0.627,0.641,0.655,0.655,0.59,0.627,0.646,0.661,0.655,0.589,0.633,0.641,0.655,0.655
208,0.58,0.615,0.64,0.654,0.648,0.587,0.621,0.647,0.66,0.659,0.587,0.621,0.647,0.66,0.66,0.587,0.621,0.647,0.659,0.66
224,0.588,0.618,0.641,0.658,0.654,0.595,0.628,0.651,0.659,0.659,,0.628,0.651,0.663,0.659,0.595,0.624,0.652,0.663,0.659
240,0.584,0.621,0.647,0.658,0.658,0.589,0.626,0.652,0.663,0.66,0.59,0.63,0.649,0.663,0.662,0.589,0.63,0.652,0.663,0.662
256,0.588,0.629,0.648,0.658,0.658,0.594,0.635,0.653,0.663,0.663,0.594,0.632,0.656,0.663,0.663,0.594,0.632,0.653,0.663,0.663
384,0.59,0.629,0.65,0.657,0.662,0.594,0.633,0.653,0.66,0.665,0.597,0.636,0.658,0.663,0.669,0.597,0.636,0.657,0.663,0.668
512,0.591,0.63,0.651,0.661,0.66,0.596,0.635,0.656,0.666,0.665,0.599,0.638,0.659,0.668,0.667,0.599,0.638,0.658,0.668,0.667
