Cycles MFLOPS
N,MC4096_NC128_KC32,MC4096_NC128_KC64,MC4096_NC128_KC128,MC4096_NC128_KC256,MC4096_NC128_KC384,MC4096_NC256_KC32,MC4096_NC256_KC64,MC4096_NC256_KC128,MC4096_NC256_KC256,MC4096_NC256_KC384,MC4096_NC512_KC32,MC4096_NC512_KC64,MC4096_NC512_KC128,MC4096_NC512_KC256,MC4096_NC512_KC384,MC4096_NC4096_KC32,MC4096_NC4096_KC64,MC4096_NC4096_KC128,MC4096_NC4096_KC256,MC4096_NC4096_KC384
16,146350,148531,146794,148165,149920,146832,146591,146915,147525,188942,146480,147407,187191,146965,149979,234126,150556,148130,147502,188117
32,462280,462001,462933,464377,461330,462364,422003,460940,463285,462505,469173,462548,461744,515429,462457,461263,467739,464567,429559,462363
48,1305987,1193864,1227620,1193655,1195399,1313869,1346034,1416617,1230623,1310076,1366778,1226307,1233167,1194623,1195143,1312852,1271401,1231670,1192283,1246349
64,2651756,2786705,2875130,2847725,2995818,2718520,2785043,2785438,2784095,2970441,2679460,2922960,2826645,3690038,2785190,2655374,2783173,3033114,2780862,2819013
80,6049503,5571153,5833328,5933107,5845647,6036151,5567478,5803819,5827799,5804479,6043090,5562128,5994911,5801997,5986431,5117442,5773503,5806284,5897006,5952555
96,8577432,9372885,10230334,10207983,10246194,8421221,9600506,10680138,10705770,10428974,8457990,9585856,10258050,10411484,10221644,8725176,9327880,10419089,10222363,10652588
112,14608835,16735723,16453897,16429810,16430579,14650231,15403329,16386415,16425126,16502640,14635770,15581655,17382965,16531859,17336700,13880156,16549307,16393671,17281811,16359718
128,22067793,25019089,24380492,24423743,24341656,21951955,23640020,24617363,24671856,24617973,22014821,23841290,25346764,24696726,25321406,20941554,24859409,24579489,25404193,24591385
144,32539092,34142708,35997560,36578758,36631673,31280559,34575959,35248978,35838353,35827048,31404048,34392057,34242544,35858198,35071336,30947466,34406149,35195826,35045880,35867227
160,45723353,47933792,48554064,49561173,49510662,44408908,46843997,47633431,48725775,49023773,44076249,46954570,47759693,48628930,48790126,44172885,46881440,47511092,48765121,48795606
176,62083711,64190935,64780378,66455029,66474915,59701963,63234759,63716615,65592443,64760523,59617706,63180270,63533765,65383918,64617880,59513628,63152791,63572097,64919898,65426786
192,81615243,83483742,84428017,84862328,85530635,79768508,82787036,83040679,84659012,84622139,79665809,82976676,82453692,83701522,84586723,79862727,81952428,83002850,84538550,84527810
208,103808432,105730359,106436583,108363157,109768370,101455932,103919957,105007253,107223903,107406028,101732414,104131023,105017628,107175050,107332409,101411812,104031318,105019057,107306626,107219016
224,131000243,132707871,133123294,135468596,136247123,128711703,130203200,130505594,135073761,134765012,,130220935,130373546,133876664,134762597,128587095,131089620,130304811,133852632,134906658
240,161687767,164025746,162559461,167403609,167574067,159264743,161748760,160665707,165787277,166466504,159068024,160717943,161570368,165780555,165933487,159131644,160680932,160667378,165473207,165980583
256,198759586,197350940,197205200,204095789,204172771,195791351,194656417,195292676,201990554,201944498,196020119,195924653,194145345,202278269,201906962,195659145,195512235,195165099,201824928,202013062
384,686816298,665330812,662413955,676834389,713030470,681038077,659341040,657202205,672817719,709442610,674866393,654636339,651675170,668186133,704702285,675170992,655500666,652267670,668311320,705542482
512,1638697654,1574465994,1567310180,1621624737,1659453013,1619950990,1558101670,1550127734,1605652610,1643487693,1605529663,1546738822,1541085499,1597978989,1634663480,1605459106,1546667283,1542106498,1598620716,1636131335



Instret MFLOPS
N,MC4096_NC128_KC32,MC4096_NC128_KC64,MC4096_NC128_KC128,MC4096_NC128_KC256,MC4096_NC128_KC384,MC4096_NC256_KC32,MC4096_NC256_KC64,MC4096_NC256_KC128,MC4096_NC256_KC256,MC4096_NC256_KC384,MC4096_NC512_KC32,MC4096_NC512_KC64,MC4096_NC512_KC128,MC4096_NC512_KC256,MC4096_NC512_KC384,MC4096_NC4096_KC32,MC4096_NC4096_KC64,MC4096_NC4096_KC128,MC4096_NC4096_KC256,MC4096_NC4096_KC384
16,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.182,0.205,0.205,0.182,0.205,0.205,0.161,0.205,0.205,0.205,0.182
32,0.461,0.461,0.461,0.461,0.461,0.461,0.477,0.461,0.461,0.461,0.461,0.461,0.461,0.442,0.461,0.461,0.461,0.461,0.477,0.461
48,0.505,0.566,0.559,0.566,0.566,0.505,0.542,0.531,0.559,0.546,0.498,0.559,0.559,0.566,0.566,0.505,0.554,0.559,0.566,0.56
64,0.564,0.608,0.599,0.604,0.59,0.56,0.608,0.608,0.608,0.591,0.561,0.595,0.605,0.486,0.608,0.564,0.608,0.587,0.608,0.605
80,0.502,0.593,0.627,0.623,0.627,0.502,0.593,0.628,0.627,0.628,0.503,0.593,0.619,0.628,0.621,0.561,0.584,0.628,0.624,0.622
96,0.584,0.612,0.641,0.641,0.64,0.588,0.608,0.628,0.628,0.636,0.587,0.606,0.64,0.635,0.641,0.581,0.613,0.636,0.641,0.629
112,0.556,0.59,0.648,0.648,0.648,0.556,0.625,0.649,0.649,0.647,0.556,0.623,0.616,0.647,0.618,0.578,0.593,0.649,0.618,0.649
128,0.574,0.609,0.656,0.655,0.656,0.575,0.635,0.653,0.652,0.653,0.575,0.632,0.634,0.652,0.634,0.594,0.611,0.653,0.632,0.653
