N,MC16_NC16_KC64,MC32_NC32_KC64,MC64_NC64_KC64,MC96_NC96_KC64,MC128_NC128_KC64,MC256_NC256_KC64
16,10.241,10.241,10.241,10.241,10.241,10.241
32,20.338,23.857,23.857,23.857,23.857,23.857
48,23.849,26.077,28.141,29.053,29.053,29.053
64,26.595,29.844,31.301,31.301,31.301,31.301
80,24.665,27.819,29.286,30.601,30.601,30.601
96,25.852,29.531,30.636,31.634,31.634,31.634
112,26.542,29.751,31.554,31.554,32.349,32.349
128,27.421,30.67,32.133,32.133,32.787,32.787
144,26.107,29.43,30.919,31.593,31.593,32.208
160,26.714,30.272,31.536,32.078,32.058,32.607
176,27.169,30.321,31.993,32.517,32.517,32.983
192,27.579,30.911,32.392,32.828,32.828,33.241
208,26.69,30.019,31.498,31.954,32.377,32.772
224,27.068,30.562,31.885,32.301,32.683,33.023
240,27.398,30.597,32.206,32.581,32.927,33.24
256,27.69,31.025,32.488,32.819,33.138,33.443
512,27.821,31.159,32.62,32.952,33.267,33.567
