N,MC16_NC16_KC64,MC32_NC32_KC64,MC64_NC64_KC64,MC96_NC96_KC64,MC128_NC128_KC64,MC256_NC256_KC64
16,11.463,15.368,15.368,15.368,15.368,15.368
32,30.794,38.071,38.071,38.071,38.071,38.071
48,36.789,41.895,47.344,47.344,47.344,47.344
64,39.663,47.364,51.49,51.49,51.49,51.49
80,38.2,45.394,49.21,53.03,53.03,52.481
96,39.461,48.45,51.54,54.627,54.627,54.627
112,40.366,47.419,53.12,53.12,55.71,55.71
128,41.57,49.834,54.259,53.946,56.494,56.494
144,40.371,48.306,52.536,54.711,54.609,56.667
160,41.024,49.825,53.538,55.362,55.361,57.229
176,41.587,49.311,54.288,55.949,55.988,57.634
192,42.061,50.455,54.965,56.5,56.459,57.945
208,41.212,49.41,53.752,55.204,56.631,58.083
224,41.634,50.376,54.377,55.67,57.01,58.325
240,41.991,49.992,54.873,56.121,57.327,58.558
256,42.33,50.801,55.327,56.478,57.62,58.748
512,42.692,51.275,55.864,57.021,58.18,59.33
