KC,insts_4,insts_8,insts_16
16,3808483711.0,3004390430.0,2488337221.0
32,3390221314.0,2845018666.0,2447841779.0
64,3181289035.0,2765539226.0,2427801824.0
96,3116218721.0,2740908911.0,2421747368.0
128,3077283649.0,2726254695.0,2418226799.0
160,3064503232.0,2721551773.0,2417259387.0
192,3051722305.0,2716861599.0,2416276086.0
224,3038932980.0,2712166876.0,2415302715.0
256,3026171588.0,2707499315.0,2414334124.0
384,3014261858.0,2703676906.0,2414233432.0
512,3002361998.0,2699863906.0,2414160838.0
