KC,wmisses_4,wmisses_8,wmisses_16
16,35785091.0,35562629.0,9973662.0
32,19019681.0,18792929.0,5774425.0
64,10675193.0,10417530.0,3694093.0
96,8058724.0,7808053.0,3064364.0
128,6509402.0,6267691.0,2730062.0
160,6009245.0,5760466.0,2604094.0
192,5519238.0,5280405.0,2493601.0
224,5026958.0,4770501.0,2390962.0
256,4541521.0,4345100.0,2279139.0
384,4162875.0,3896741.0,2273819.0
512,3875842.0,3447869.0,2266832.0
