KC,r_4,r_8,r_16
16,724829645.0,319397370.0,150067525.0
32,632955536.0,295999179.0,143997343.0
64,587058614.0,284339374.0,141001042.0
96,572746548.0,280728406.0,140098508.0
128,564188825.0,278590557.0,139583080.0
160,561367244.0,277905948.0,139443513.0
192,558547264.0,277225901.0,139303963.0
224,555726888.0,276546994.0,139166865.0
256,552899584.0,275859741.0,139019773.0
384,550231764.0,275332153.0,139035181.0
512,547566897.0,274806097.0,139050153.0
