KC,cycles_4,cycles_8,cycles_16
16,14148776969,10885588197,7991484784
32,12894540670,10057377405,7833826855
64,12363006065,9724026364,7874868635
96,12288623049,9721701728,7976936530
128,12304240666,9780760850,8102232707
160,12400719464,9877945199,8178392688
192,12505082201,9979636602,8253815739
224,12602753430,10085578809,8305492097
256,12755540499,10239941229,8381312838
384,13174529443,10511179560,8438247714
512,13830450658,10805459134,8472096250
