KC,w_4,w_8,w_16
16,153831417.0,92913306.0,26215257.0
32,79339056.0,48863422.0,15080311.0
64,42171614.0,26916638.0,9590782.0
96,30627593.0,20130276.0,7947661.0
128,23744811.0,16101685.0,7003491.0
160,21519297.0,14825434.0,6758621.0
192,19295552.0,13552999.0,6513917.0
224,17068462.0,12278520.0,6269077.0
256,14844212.0,11005634.0,6022819.0
384,12933833.0,10046794.0,6092431.0
512,11023173.0,9086764.0,6161040.0
