────────────────────────────────────────────────────────────
  Config      cycles        cycles       cycles
                per           per          per
            instruction      miss          hit      MeanErr%
────────────────────────────────────────────────────────────
       4     2.512916        29.78         2.22       0.47
       8     2.313356        31.99         4.66       0.48
      16     2.568126        31.50         3.75       0.71
────────────────────────────────────────────────────────────
