KC,rmisses_4,rmisses_8,rmisses_16
16,141018443.0,73491367.0,39837653.0
32,144649660.0,77208966.0,43483196.0
64,153558105.0,84719109.0,48583155.0
96,159692597.0,90228826.0,56459700.0
128,166722025.0,94869158.0,57064785.0
160,170114351.0,100923566.0,67973334.0
192,176449095.0,110043527.0,67907590.0
224,182828843.0,110300009.0,67632622.0
256,188856152.0,111818976.0,69110967.0
384,212647375.0,130107411.0,69055921.0
512,222481747.0,136053877.0,69000635.0
