N,MC4096_NC16_KC96,MC4096_NC16_KC192,MC4096_NC16_KC384
16,4.253,3.173,4.091
32,9.798,9.75,9.75
48,11.554,11.508,11.542
64,12.426,12.436,12.448
80,12.59,13.05,12.649
96,13.398,13.352,13.323
112,13.183,13.646,12.72
128,12.639,13.441,12.849
144,13.787,13.237,13.341
160,13.483,13.577,13.449
176,13.661,13.58,13.594
192,13.797,13.383,13.581
208,13.616,13.479,13.57
224,13.786,13.634,13.659
240,13.828,13.668,13.591
256,13.307,13.149,13.066
