N,MC4096_NC16_KC96,MC4096_NC16_KC192,MC4096_NC16_KC384
16,4.177,4.149,3.981
32,8.801,9.687,9.648
48,10.99,11.655,11.413
64,11.96,12.05,11.849
80,12.305,12.336,12.217
96,11.265,12.557,11.445
112,12.272,11.667,12.565
128,12.464,12.046,12.665
144,12.329,12.81,12.44
160,12.521,12.547,12.575
176,12.701,12.677,12.653
192,12.655,12.72,12.541
208,12.597,12.48,12.582
224,12.728,12.619,12.606
240,12.744,12.646,12.537
256,12.573,12.509,12.275
